method,eval_num,f1,cfg_lookback_days,cfg_min_complaints,cfg_class_weight_ratio,cfg_threshold,cfg_feature_subset,cfg_model_type,cfg_text_features,cfg_control_match_ratio,meta_n,meta_n_pos,meta_n_neg,meta_n_train,meta_n_test,meta_n_feat,meta_precision,meta_recall,meta_model,meta_elapsed
Random,28,0.47368421052631576,617.4898385816634,22,1.6308203635317997,0.3618902970460728,0,0,0,2,125,43,82,87,38,6,0.36,0.6923076923076923,logistic_regression,2.5118463039398193
Random,29,0.18181818181818182,314.68354306183323,61,15.8987101530969,0.3639997178391453,1,1,1,3,124,32,92,86,38,10,1.0,0.1,random_forest,2.1115219593048096
Random,30,0.42857142857142855,121.70240943035779,88,2.5379899080363533,0.13310156489827324,3,1,0,5,111,20,91,77,34,17,0.2727272727272727,1.0,random_forest,1.9014160633087158
Random,31,0.5714285714285714,186.82967617741843,16,10.711767369294392,0.2547739126652301,2,1,0,2,103,35,68,72,31,15,0.47058823529411764,0.7272727272727273,random_forest,1.2736852169036865
Random,32,0.35714285714285715,567.8202963749088,14,18.018384537026886,0.34875586894038724,0,1,0,3,160,41,119,112,48,6,0.3125,0.4166666666666667,random_forest,2.6918647289276123
Random,33,0.0,183.8455511925019,26,12.22138549426588,0.5822486523964735,1,1,1,3,128,33,95,89,39,10,0.0,0.0,random_forest,1.8244304656982422
Random,34,0.0,121.17567886897561,60,2.0112915032307295,0.8990427752618378,2,0,0,5,123,22,101,86,37,15,0.0,0.0,logistic_regression,1.576915979385376
Random,35,0.8,155.26440983330616,91,4.303011068045231,0.6420709937106108,2,0,0,5,139,25,114,97,42,15,0.8571428571428571,0.75,logistic_regression,2.346663236618042
Random,36,0.5,277.45752371348624,33,5.40443695731685,0.5939597214316457,1,2,0,2,99,34,65,69,30,10,0.6666666666666666,0.4,gradient_boosted_trees,1.5804343223571777
Random,37,0.35294117647058826,538.5451717502492,88,11.138248386281456,0.5081852117897067,3,1,0,2,88,30,58,61,27,17,0.375,0.3333333333333333,random_forest,2.2792418003082275
Random,38,0.8181818181818182,164.86108179629076,35,2.7705874877587946,0.23605625883609616,3,2,0,1,65,33,32,45,20,17,0.75,0.9,gradient_boosted_trees,0.7634382247924805
Random,39,0.4827586206896552,589.3108953851468,35,9.424307380517764,0.20153845142281687,3,2,1,3,136,35,101,95,41,19,0.3888888888888889,0.6363636363636364,gradient_boosted_trees,2.1112637519836426
Random,40,0.42105263157894735,648.3443155460723,39,8.398141968972707,0.4905725542895245,0,2,0,3,145,38,107,101,44,6,0.5714285714285714,0.3333333333333333,gradient_boosted_trees,2.780860424041748
Random,41,0.6153846153846154,624.4230003832341,62,2.658497689109293,0.5119992029899247,1,0,1,2,101,35,66,70,31,10,0.5333333333333333,0.7272727272727273,logistic_regression,2.1557705402374268
Random,42,0.5217391304347826,692.9380428864472,39,7.02176816427943,0.49640397953153126,3,2,0,2,112,38,74,78,34,17,0.5454545454545454,0.5,gradient_boosted_trees,1.6097939014434814
Random,43,0.27586206896551724,601.0225965133525,76,13.265808162786836,0.7509152510607282,2,0,0,5,187,33,154,130,57,15,0.21052631578947367,0.4,logistic_regression,3.3113176822662354
Random,44,0.3333333333333333,650.5507124465437,45,14.091983755514745,0.26631342066043395,1,2,1,5,210,38,172,147,63,10,0.3076923076923077,0.36363636363636365,gradient_boosted_trees,3.8364479541778564
Random,45,0.0,350.6833511988892,14,12.503346981284388,0.7284087515554646,0,1,1,5,233,41,192,163,70,6,0.0,0.0,random_forest,2.947634696960449
Random,46,0.0,489.5307048691715,12,12.211204585982152,0.7597404249405083,0,1,0,1,83,42,41,58,25,6,0.0,0.0,random_forest,0.9923107624053955
Random,47,0.5833333333333334,345.72199242759007,55,17.08863844172843,0.1549799073331186,3,2,0,2,97,33,64,67,30,17,0.5,0.7,gradient_boosted_trees,1.5361919403076172
Random,48,0.6153846153846154,286.2724180355613,83,17.64128490923584,0.2602741673295885,1,0,1,1,59,30,29,41,18,10,0.47058823529411764,0.8888888888888888,logistic_regression,1.1992299556732178
